Phase-V v4 cross-corpus specificity (spelled view)
schema=phase5-crosscorpus-v4.1; feature_schema=phase5-theory-v4.1
grids: 4 corpora x one direct + 5 baselines; 36 cells/grid; 15 rows/cell

Direct versus five-seed size-matched Wikipedia baseline; specificity is direct row DeltaKL minus the mean baseline row DeltaKL.
corpus | model | family | extraction | direct residual_r(p) dkl(p) r2 | baseline dkl mean sd [min,max] sig/5 | row mean Wilcoxon-p
dolmino_dclm | gemma2_2b | E_modulation | D_doc | +0.3040(+0.0265) +0.018412(+0.0360) +0.051830 | +0.001465 0.001792 [-0.001149,+0.003146] 0/5 | +0.016947 p=0.0255737
dolmino_dclm | qwen25_3b | C_harmonic | A_win40 | +0.1902(+0.1149) +0.015442(+0.0420) +0.061454 | +0.003791 0.005137 [-0.000544,+0.012167] 1/5 | +0.011651 p=0.0479126
dolmino_dclm | qwen25_3b | C_harmonic | B_any | +0.0731(+0.3048) +0.001612(+0.3428) +0.002791 | -0.000826 0.002131 [-0.003763,+0.001933] 0/5 | +0.002438 p=0.389404
dolmino_dclm | qwen25_3b | C_harmonic | D_doc | +0.2640(+0.0625) +0.018634(+0.0560) +0.086344 | +0.003883 0.002685 [+0.000745,+0.006753] 0/5 | +0.014751 p=0.207764
dolmino_dclm | qwen25_3b | D_chord | A_win40 | +0.1472(+0.1204) +0.000442(+0.2729) +0.008723 | -0.000760 0.000665 [-0.001884,-0.000198] 0/5 | +0.001202 p=0.302795
dolmino_dclm | qwen25_3b | D_chord | B_any | +0.0725(+0.2714) -0.000105(+0.3693) +0.002299 | +0.000300 0.001193 [-0.000785,+0.002021] 0/5 | -0.000405 p=0.890381
dolmino_dclm | qwen25_3b | D_chord | D_doc | +0.1669(+0.1094) -0.002842(+0.8841) -0.007966 | -0.000310 0.000930 [-0.001250,+0.000967] 0/5 | -0.002532 p=0.719727
dolmino_dclm | qwen25_3b | E_modulation | A_win40 | +0.1034(+0.2314) +0.003933(+0.2429) -0.000853 | -0.000957 0.000633 [-0.001937,-0.000329] 0/5 | +0.004890 p=0.0301514
dolmino_dclm | qwen25_3b | E_modulation | B_any | +0.0278(+0.4328) -0.000391(+0.6052) -0.004533 | -0.001292 0.001068 [-0.003057,-0.000291] 0/5 | +0.000901 p=0.638672
dolmino_dclm | qwen25_3b | E_modulation | D_doc | +0.2335(+0.0805) +0.013626(+0.0590) +0.024603 | +0.000138 0.001271 [-0.001243,+0.001485] 0/5 | +0.013488 p=0.00115967
dolmino_dclm | olmo2_7b | C_harmonic | A_win40 | +0.0479(+0.3528) +0.009561(+0.1219) +0.004028 | -0.004167 0.001200 [-0.005383,-0.002545] 0/5 | +0.013728 p=0.0255737
dolmino_dclm | olmo2_7b | C_harmonic | B_any | +0.1037(+0.1794) +0.007449(+0.1244) -0.000621 | -0.002232 0.001517 [-0.004260,-0.000035] 0/5 | +0.009682 p=0.083252
dolmino_dclm | olmo2_7b | C_harmonic | D_doc | +0.0745(+0.2869) +0.005131(+0.2659) +0.002134 | -0.002711 0.002274 [-0.006277,-0.000060] 0/5 | +0.007842 p=0.0150757
dolmino_dclm | olmo2_7b | D_chord | A_win40 | +0.1319(+0.1114) +0.016468(+0.0215) +0.011429 | -0.000822 0.000768 [-0.002021,+0.000026] 0/5 | +0.017290 p=0.0124512
dolmino_dclm | olmo2_7b | D_chord | B_any | +0.1366(+0.0725) +0.005406(+0.1164) -0.004222 | -0.000618 0.001124 [-0.001899,+0.000482] 0/5 | +0.006025 p=0.0150757
dolmino_dclm | olmo2_7b | D_chord | D_doc | +0.0307(+0.3868) +0.002960(+0.2399) -0.003968 | -0.003432 0.001964 [-0.005349,-0.000807] 0/5 | +0.006392 p=0.0301514
dolmino_dclm | olmo2_7b | E_modulation | A_win40 | +0.1211(+0.1734) +0.003708(+0.0965) +0.022508 | +0.002464 0.000992 [+0.001289,+0.003652] 2/5 | +0.001244 p=0.719727
dolmino_dclm | olmo2_7b | E_modulation | B_any | +0.0351(+0.3793) -0.000558(+0.6357) -0.006070 | +0.000352 0.001080 [-0.000811,+0.001679] 0/5 | -0.000910 p=0.302795
