## qwen25_3b predicting position, context 'The piece modulates from {x} major to'
layer | RSA PMI  -fifths  block  common | partial fifths  chrom | circle|line  line|circle | P1 P5 raw | P1 P5 blackproj | iso7
    0 | +nan  +nan  +nan  +nan | +nan  +nan | +nan  +nan | nan nan | nan nan | nan
    8 | +0.33  +0.28  +0.56  +0.39 | +0.06  -0.23 | -0.06  +0.10 | 0.15 0.24 | 0.19 0.12 | 0.71
   10 | +0.39  +0.29  +0.53  +0.44 | +0.10  -0.20 | -0.12  +0.24 | 0.14 0.26 | 0.18 0.14 | 0.69
   12 | +0.33  +0.19  +0.52  +0.28 | -0.05  -0.18 | -0.33  +0.39 | 0.12 0.27 | 0.16 0.11 | 0.57
   14 | +0.29  +0.27  +0.66  +0.30 | -0.09  -0.10 | -0.25  +0.30 | 0.13 0.26 | 0.17 0.12 | 0.63
   16 | +0.28  +0.27  +0.69  +0.36 | -0.12  -0.09 | -0.33  +0.37 | 0.13 0.26 | 0.18 0.12 | 0.62
   18 | +0.29  +0.29  +0.74  +0.36 | -0.13  -0.08 | -0.26  +0.27 | 0.13 0.28 | 0.18 0.13 | 0.61
   20 | +0.29  +0.32  +0.79  +0.31 | -0.14  -0.07 | -0.19  +0.15 | 0.13 0.28 | 0.18 0.13 | 0.59
   22 | +0.27  +0.30  +0.80  +0.30 | -0.18  -0.01 | -0.18  +0.10 | 0.13 0.29 | 0.19 0.13 | 0.58
   24 | +0.20  +0.29  +0.78  +0.29 | -0.15  +0.05 | -0.16  +0.08 | 0.14 0.28 | 0.20 0.12 | 0.60
   26 | +0.13  +0.28  +0.69  +0.25 | -0.09  +0.05 | -0.06  -0.00 | 0.15 0.28 | 0.20 0.12 | 0.62
   28 | +0.13  +0.30  +0.70  +0.22 | -0.08  +0.07 | -0.02  -0.04 | 0.14 0.29 | 0.19 0.13 | 0.61
   30 | +0.27  +0.38  +0.64  +0.18 | +0.07  +0.09 | +0.03  +0.06 | 0.14 0.31 | 0.20 0.15 | 0.68
   32 | +0.28  +0.31  +0.49  +0.21 | +0.08  +0.14 | +0.08  -0.00 | 0.17 0.29 | 0.21 0.16 | 0.83
   34 | +0.30  +0.24  +0.44  +0.24 | +0.01  +0.14 | -0.00  +0.04 | 0.18 0.28 | 0.23 0.14 | 0.75
   36 | +0.31  +0.22  +0.44  +0.22 | -0.01  +0.20 | -0.04  +0.07 | 0.19 0.27 | 0.24 0.13 | 0.70
