/home/moloch/Documents/Research/pitch_fourier/scripts/multictx_analyze.py:45: RuntimeWarning: invalid value encountered in divide
  v = paired_vector(mode_energies(Havg)); p = v / v.sum()
/home/moloch/Documents/Research/pitch_fourier/scripts/multictx_analyze.py:46: RuntimeWarning: invalid value encountered in divide
  Hb = project_out(Havg, BLACK); vb = paired_vector(mode_energies(Hb)); pb = vb / vb.sum()
/home/moloch/Documents/Research/pitch_fourier/scripts/multictx_analyze.py:23: ConstantInputWarning: An input array is constant; the correlation coefficient is not defined.
  return float(spearmanr(G[u], C[u]).correlation)
/home/moloch/Documents/Research/pitch_fourier/pf/fourier.py:192: ConstantInputWarning: An input array is constant; the correlation coefficient is not defined.
  return float(spearmanr(D[iu], L[iu]).correlation)
## olmo2_7b major [anchor]  n_ctx=24
layer  P1    P5   | P1b   P5b  | iso7 | whiteRSA f/c  | GramRSA(z,p)  ctx mean±sd | GramRSA blackproj (z) | white-only
    0 nan nan | nan nan | nan | +nan +nan | +nan (+nan,0.000) +nan±nan | +nan (+nan) | +nan
    4 0.181 0.234 | 0.232 0.097 | 0.65 | +0.01 -0.10 | +0.324 (+3.0,0.013) +0.330±0.027 | +0.260 (+1.4) | +0.101
    5 0.178 0.245 | 0.231 0.105 | 0.65 | +0.09 +0.05 | +0.352 (+3.3,0.010) +0.363±0.050 | +0.355 (+2.3) | +0.192
    6 0.175 0.259 | 0.230 0.113 | 0.65 | +0.02 +0.18 | +0.389 (+3.4,0.005) +0.376±0.068 | +0.348 (+2.1) | +0.129
    7 0.169 0.275 | 0.230 0.118 | 0.63 | +0.18 +0.25 | +0.374 (+2.9,0.011) +0.363±0.098 | +0.397 (+2.4) | +0.151
    8 0.175 0.285 | 0.241 0.124 | 0.64 | +0.13 +0.48 | +0.388 (+3.2,0.006) +0.345±0.106 | +0.425 (+2.7) | +0.192
    9 0.173 0.290 | 0.240 0.125 | 0.63 | +0.11 +0.44 | +0.404 (+3.4,0.005) +0.337±0.116 | +0.414 (+2.6) | +0.188
   10 0.167 0.303 | 0.237 0.129 | 0.62 | +0.16 +0.43 | +0.426 (+3.4,0.005) +0.356±0.120 | +0.412 (+2.6) | +0.173
   11 0.163 0.316 | 0.235 0.135 | 0.61 | +0.13 +0.41 | +0.451 (+3.6,0.003) +0.378±0.121 | +0.449 (+3.1) | +0.256
   12 0.159 0.322 | 0.233 0.137 | 0.61 | +0.10 +0.37 | +0.454 (+3.7,0.004) +0.377±0.125 | +0.445 (+3.1) | +0.194
   13 0.155 0.335 | 0.234 0.138 | 0.58 | +0.06 +0.24 | +0.471 (+3.7,0.003) +0.387±0.118 | +0.458 (+2.9) | +0.271
   14 0.153 0.343 | 0.236 0.137 | 0.56 | +0.20 +0.19 | +0.471 (+3.7,0.004) +0.404±0.116 | +0.439 (+3.0) | +0.190
   15 0.149 0.351 | 0.233 0.137 | 0.55 | +0.15 +0.08 | +0.469 (+3.9,0.002) +0.403±0.121 | +0.434 (+2.7) | +0.143
   16 0.148 0.354 | 0.235 0.135 | 0.54 | +0.09 -0.01 | +0.467 (+3.8,0.003) +0.397±0.123 | +0.402 (+2.6) | +0.219
   17 0.178 0.306 | 0.254 0.111 | 0.54 | +0.28 -0.11 | +0.443 (+3.5,0.003) +0.403±0.123 | +0.322 (+1.5) | +0.191
   18 0.171 0.320 | 0.249 0.108 | 0.50 | +0.44 +0.02 | +0.425 (+3.3,0.004) +0.403±0.112 | +0.207 (+0.6) | +0.230
   19 0.170 0.319 | 0.246 0.111 | 0.51 | +0.26 -0.20 | +0.439 (+3.4,0.004) +0.403±0.116 | +0.217 (+0.7) | +0.130
   20 0.167 0.313 | 0.238 0.108 | 0.51 | +0.30 -0.21 | +0.440 (+3.4,0.005) +0.419±0.115 | +0.205 (+0.6) | +0.257
   21 0.178 0.293 | 0.244 0.102 | 0.52 | +0.33 -0.30 | +0.429 (+3.4,0.003) +0.412±0.119 | +0.196 (+0.5) | +0.129
   22 0.178 0.287 | 0.240 0.103 | 0.53 | +0.27 -0.13 | +0.454 (+3.6,0.002) +0.419±0.114 | +0.205 (+0.5) | +0.213
   23 0.174 0.290 | 0.235 0.103 | 0.53 | +0.30 -0.17 | +0.469 (+3.7,0.003) +0.426±0.116 | +0.236 (+0.6) | +0.300
   24 0.171 0.288 | 0.228 0.108 | 0.55 | +0.44 -0.16 | +0.479 (+3.8,0.003) +0.431±0.119 | +0.252 (+0.9) | +0.538
   25 0.170 0.285 | 0.225 0.111 | 0.57 | +0.37 -0.21 | +0.474 (+3.6,0.004) +0.428±0.122 | +0.251 (+0.7) | +0.544
   26 0.170 0.286 | 0.222 0.115 | 0.58 | +0.64 -0.02 | +0.484 (+3.6,0.003) +0.429±0.122 | +0.232 (+0.6) | +0.555
   27 0.168 0.284 | 0.219 0.116 | 0.59 | +0.64 -0.02 | +0.483 (+3.7,0.003) +0.423±0.127 | +0.222 (+0.4) | +0.587
   28 0.165 0.285 | 0.215 0.120 | 0.60 | +0.66 -0.09 | +0.477 (+3.8,0.001) +0.421±0.123 | +0.245 (+0.7) | +0.604
   29 0.163 0.288 | 0.213 0.123 | 0.61 | +0.73 -0.02 | +0.464 (+3.5,0.005) +0.418±0.126 | +0.257 (+0.8) | +0.625
   30 0.158 0.295 | 0.207 0.130 | 0.62 | +0.78 +0.03 | +0.476 (+3.6,0.003) +0.419±0.131 | +0.274 (+1.0) | +0.608
   31 0.147 0.306 | 0.199 0.130 | 0.60 | +0.56 -0.08 | +0.444 (+3.2,0.005) +0.417±0.131 | +0.243 (+0.8) | +0.497
   32 0.141 0.304 | 0.192 0.129 | 0.59 | +0.46 -0.07 | +0.408 (+3.1,0.005) +0.408±0.150 | +0.225 (+0.6) | +0.366
## olmo2_7b minor [anchor]  n_ctx=24
layer  P1    P5   | P1b   P5b  | iso7 | whiteRSA f/c  | GramRSA(z,p)  ctx mean±sd | GramRSA blackproj (z) | white-only
    0 nan nan | nan nan | nan | +nan +nan | +nan (+nan,0.000) +nan±nan | +nan (+nan) | +nan
    1 0.151 0.335 | 0.198 0.145 | 0.51 | +0.10 +0.01 | +0.453 (+3.5,0.008) +0.451±0.021 | +0.323 (+2.0) | -0.003
    2 0.191 0.234 | 0.227 0.107 | 0.60 | +0.13 +0.09 | +0.377 (+2.9,0.004) +0.384±0.032 | +0.272 (+1.4) | +0.222
    3 0.216 0.225 | 0.255 0.099 | 0.63 | +0.02 +0.18 | +0.431 (+3.2,0.002) +0.448±0.036 | +0.322 (+1.8) | +0.192
    4 0.208 0.230 | 0.247 0.105 | 0.64 | +0.11 +0.17 | +0.444 (+3.5,0.002) +0.457±0.040 | +0.333 (+1.9) | +0.236
    5 0.204 0.245 | 0.246 0.113 | 0.65 | +0.16 +0.05 | +0.503 (+4.0,0.001) +0.511±0.036 | +0.373 (+2.2) | +0.203
    6 0.197 0.253 | 0.242 0.114 | 0.64 | +0.19 +0.10 | +0.545 (+4.2,0.000) +0.547±0.039 | +0.392 (+2.4) | +0.243
    7 0.196 0.266 | 0.245 0.116 | 0.61 | +0.11 +0.11 | +0.593 (+4.5,0.001) +0.582±0.046 | +0.395 (+2.5) | +0.264
    8 0.185 0.296 | 0.240 0.123 | 0.58 | +0.19 +0.10 | +0.665 (+5.2,0.000) +0.646±0.044 | +0.396 (+2.5) | +0.300
    9 0.181 0.311 | 0.241 0.123 | 0.56 | +0.19 +0.06 | +0.704 (+5.3,0.000) +0.681±0.039 | +0.429 (+2.6) | +0.295
   10 0.176 0.327 | 0.239 0.127 | 0.55 | +0.17 +0.05 | +0.713 (+5.4,0.000) +0.688±0.035 | +0.442 (+2.8) | +0.300
   11 0.173 0.338 | 0.236 0.130 | 0.53 | +0.26 +0.07 | +0.711 (+5.4,0.001) +0.686±0.036 | +0.439 (+3.0) | +0.279
   12 0.170 0.346 | 0.234 0.135 | 0.53 | +0.24 +0.07 | +0.708 (+5.3,0.000) +0.687±0.040 | +0.460 (+2.8) | +0.310
   13 0.169 0.352 | 0.235 0.136 | 0.52 | +0.26 +0.05 | +0.708 (+5.3,0.000) +0.685±0.040 | +0.462 (+2.8) | +0.306
   14 0.168 0.349 | 0.232 0.135 | 0.52 | +0.24 +0.04 | +0.697 (+5.4,0.000) +0.678±0.040 | +0.452 (+2.7) | +0.303
   15 0.165 0.357 | 0.232 0.140 | 0.53 | +0.27 +0.05 | +0.702 (+5.5,0.000) +0.677±0.042 | +0.457 (+2.8) | +0.257
   16 0.164 0.363 | 0.232 0.146 | 0.54 | +0.29 +0.04 | +0.704 (+5.6,0.000) +0.674±0.043 | +0.460 (+2.9) | +0.260
   17 0.165 0.361 | 0.232 0.149 | 0.55 | +0.24 +0.06 | +0.700 (+5.3,0.000) +0.666±0.046 | +0.465 (+2.9) | +0.279
   18 0.223 0.267 | 0.282 0.098 | 0.56 | +0.35 +0.20 | +0.647 (+5.0,0.000) +0.639±0.041 | +0.495 (+3.1) | +0.300
   19 0.216 0.290 | 0.281 0.113 | 0.57 | +0.30 +0.15 | +0.665 (+5.1,0.000) +0.647±0.049 | +0.495 (+3.0) | +0.252
   20 0.217 0.295 | 0.283 0.117 | 0.57 | +0.24 +0.19 | +0.659 (+5.0,0.001) +0.643±0.057 | +0.494 (+3.2) | +0.248
   21 0.221 0.297 | 0.290 0.113 | 0.56 | +0.32 +0.22 | +0.678 (+5.3,0.000) +0.648±0.062 | +0.484 (+3.1) | +0.238
   22 0.223 0.301 | 0.291 0.120 | 0.58 | +0.23 +0.22 | +0.674 (+5.0,0.000) +0.639±0.071 | +0.488 (+3.3) | +0.182
   23 0.218 0.311 | 0.287 0.127 | 0.58 | +0.25 +0.25 | +0.671 (+5.1,0.000) +0.635±0.081 | +0.485 (+3.1) | +0.191
   24 0.217 0.314 | 0.285 0.131 | 0.58 | +0.21 +0.25 | +0.664 (+5.0,0.001) +0.625±0.088 | +0.482 (+3.3) | +0.183
   25 0.216 0.317 | 0.284 0.135 | 0.58 | +0.19 +0.23 | +0.646 (+5.0,0.000) +0.617±0.094 | +0.480 (+3.1) | +0.188
   26 0.215 0.319 | 0.283 0.140 | 0.59 | +0.24 +0.21 | +0.633 (+4.7,0.001) +0.611±0.096 | +0.479 (+3.3) | +0.195
   27 0.213 0.324 | 0.282 0.143 | 0.59 | +0.22 +0.16 | +0.635 (+4.9,0.000) +0.609±0.100 | +0.478 (+2.8) | +0.209
   28 0.211 0.325 | 0.280 0.143 | 0.59 | +0.26 +0.14 | +0.635 (+4.6,0.001) +0.608±0.102 | +0.465 (+2.8) | +0.209
   29 0.209 0.330 | 0.278 0.146 | 0.58 | +0.25 +0.15 | +0.641 (+4.8,0.000) +0.608±0.102 | +0.479 (+3.1) | +0.195
   30 0.208 0.333 | 0.280 0.147 | 0.58 | +0.26 +0.15 | +0.644 (+4.9,0.000) +0.606±0.101 | +0.487 (+2.9) | +0.192
   31 0.204 0.339 | 0.275 0.153 | 0.58 | +0.28 +0.13 | +0.645 (+5.0,0.001) +0.607±0.101 | +0.490 (+3.3) | +0.203
   32 0.202 0.345 | 0.275 0.155 | 0.57 | +0.28 +0.16 | +0.653 (+5.0,0.000) +0.603±0.106 | +0.497 (+3.4) | +0.174
## olmo2_7b minor [mean]  n_ctx=24
layer  P1    P5   | P1b   P5b  | iso7 | whiteRSA f/c  | GramRSA(z,p)  ctx mean±sd | GramRSA blackproj (z) | white-only
    0 0.213 0.175 | 0.252 0.064 | 0.52 | +0.09 -0.28 | +0.323 (+3.3,0.001) +0.323±0.000 | +0.135 (+1.0) | +0.001
    1 0.209 0.190 | 0.251 0.067 | 0.53 | +0.05 -0.33 | +0.395 (+3.9,0.001) +0.398±0.006 | +0.172 (+1.2) | -0.044
    2 0.206 0.200 | 0.250 0.073 | 0.57 | -0.02 -0.31 | +0.409 (+4.0,0.000) +0.408±0.006 | +0.231 (+1.5) | -0.103
    3 0.208 0.208 | 0.253 0.075 | 0.58 | -0.09 -0.26 | +0.410 (+4.0,0.000) +0.409±0.012 | +0.316 (+2.3) | -0.103
    4 0.206 0.225 | 0.256 0.081 | 0.57 | +0.01 -0.10 | +0.470 (+4.5,0.000) +0.474±0.025 | +0.327 (+2.2) | +0.053
    5 0.202 0.241 | 0.255 0.089 | 0.58 | +0.09 +0.05 | +0.536 (+4.8,0.001) +0.531±0.038 | +0.425 (+3.1) | +0.214
    6 0.203 0.255 | 0.258 0.095 | 0.58 | +0.02 +0.18 | +0.570 (+5.1,0.000) +0.549±0.055 | +0.449 (+3.3) | +0.170
    7 0.198 0.279 | 0.259 0.103 | 0.56 | +0.18 +0.25 | +0.642 (+5.6,0.000) +0.586±0.084 | +0.465 (+3.4) | +0.366
    8 0.206 0.299 | 0.275 0.109 | 0.56 | +0.13 +0.48 | +0.677 (+5.4,0.000) +0.624±0.102 | +0.473 (+3.3) | +0.145
    9 0.204 0.305 | 0.274 0.110 | 0.56 | +0.11 +0.44 | +0.700 (+5.9,0.000) +0.637±0.114 | +0.482 (+3.4) | +0.178
   10 0.196 0.322 | 0.270 0.115 | 0.55 | +0.16 +0.43 | +0.724 (+5.9,0.000) +0.651±0.130 | +0.488 (+3.6) | +0.243
