## olmo2_1b_bf16 major [anchor]  n_ctx=24
layer  P1    P5   | P1b   P5b  | iso7 | whiteRSA f/c  | GramRSA(z,p)  ctx mean±sd | GramRSA blackproj (z) | white-only
layer  P1    P5   | P1b   P5b  | iso7 | whiteRSA f/c  | GramRSA(z,p)  ctx mean±sd | GramRSA blackproj (z) | white-only
    0 0.164 0.272 | 0.208 0.118 | 0.65 | +0.12 -0.31 | +0.551 (+5.2,0.000) +0.551±0.000 | +0.354 (+2.5) | +0.051
    1 0.155 0.304 | 0.207 0.122 | 0.58 | +0.11 -0.33 | +0.594 (+5.6,0.000) +0.599±0.008 | +0.393 (+2.7) | -0.055
    2 0.159 0.308 | 0.212 0.126 | 0.57 | -0.16 -0.26 | +0.616 (+5.3,0.000) +0.629±0.009 | +0.424 (+3.1) | -0.114
    3 0.153 0.336 | 0.210 0.131 | 0.56 | +0.11 -0.08 | +0.696 (+5.8,0.000) +0.697±0.020 | +0.474 (+3.4) | +0.160
    4 0.150 0.345 | 0.210 0.132 | 0.54 | +0.12 +0.10 | +0.714 (+5.7,0.001) +0.719±0.018 | +0.509 (+3.6) | +0.188
    5 0.147 0.355 | 0.209 0.134 | 0.54 | +0.17 +0.16 | +0.764 (+6.1,0.000) +0.755±0.036 | +0.558 (+3.9) | +0.391
    6 0.149 0.361 | 0.214 0.131 | 0.53 | +0.08 +0.30 | +0.784 (+6.2,0.000) +0.764±0.043 | +0.575 (+4.1) | +0.426
    7 0.137 0.382 | 0.205 0.139 | 0.52 | +0.08 +0.34 | +0.791 (+6.0,0.000) +0.764±0.056 | +0.597 (+4.1) | +0.429
    8 0.139 0.390 | 0.212 0.135 | 0.50 | +0.13 +0.30 | +0.788 (+6.1,0.000) +0.755±0.054 | +0.580 (+4.1) | +0.358
    9 0.136 0.395 | 0.209 0.139 | 0.50 | +0.22 +0.35 | +0.783 (+6.3,0.000) +0.755±0.061 | +0.570 (+4.2) | +0.392
   10 0.129 0.406 | 0.205 0.142 | 0.49 | +0.11 +0.41 | +0.768 (+5.9,0.000) +0.751±0.066 | +0.575 (+4.2) | +0.240
   11 0.137 0.386 | 0.213 0.139 | 0.51 | +0.20 -0.19 | +0.743 (+5.9,0.000) +0.743±0.058 | +0.471 (+3.2) | +0.001
   12 0.162 0.315 | 0.224 0.115 | 0.54 | +0.12 -0.10 | +0.768 (+5.7,0.000) +0.744±0.057 | +0.412 (+2.6) | +0.295
   13 0.168 0.281 | 0.217 0.123 | 0.64 | +0.23 -0.08 | +0.725 (+5.7,0.000) +0.733±0.068 | +0.373 (+2.2) | +0.229
   14 0.169 0.269 | 0.212 0.130 | 0.69 | +0.28 -0.15 | +0.730 (+5.6,0.000) +0.721±0.067 | +0.405 (+2.4) | +0.068
   15 0.161 0.274 | 0.203 0.130 | 0.67 | +0.41 -0.09 | +0.738 (+5.4,0.000) +0.720±0.067 | +0.431 (+2.6) | +0.209
   16 0.122 0.336 | 0.178 0.139 | 0.50 | +0.21 -0.13 | +0.717 (+5.4,0.000) +0.683±0.078 | +0.420 (+2.6) | -0.081
